healthTOlarge,healthTOsmall,largeTOhealth,largeTOsmall,smallTOhealth,smallTOlarge
0.045086162,-0.140517478,-0.040884579,-0.062604302,-0.07210515,-0.069005185
-0.004541076,0.136500053,0.061294881,-0.028480636,0.224585772,-0.392554311
0.0364578,0.061123881,0.12207454,-0.003496404,0.49141196,-0.00684583
0.140189567,-0.019399486,-0.005591286,0.191402774,-0.004927891,0.063175569
-0.092564932,0.001229529,-0.100115815,0.077656999,-0.075661414,0.042889783
0.053352736,0.169249993,0.011978039,-0.176108941,-0.228101955,-0.052917201
0.069361517,0.027717956,0.023344539,-0.056535045,-0.430422014,0.008929121
0.057632074,0.008790966,-0.04450124,-0.050264054,0.279301771,0.165613335
-0.000242933,0.073733355,0.094407791,0.129019205,0.085489011,0.064384597
-0.035262104,0.104964109,-0.167776948,-0.133732159,-0.158740513,-0.036216687
0.054762951,0.00720981,0.046372646,-0.004454414,-0.2588169,-0.010672666
0.003732952,0.021071906,0.006472811,0.055599886,0.091916718,0.215054711
0.011252503,0.220135867,-0.05953402,-0.003713124,0.073047142,0.19577458
0.106316384,0.01242578,0.026240943,0.049518125,0.149198323,-0.061808522
-0.091532646,-0.231514348,-0.002872612,-0.0239715,0.331800124,0.001312282
0.097301179,0.092796189,0.097208887,0.013950209,0.119703673,-0.023302989
0.054157573,0.086993409,0.020131113,0.087332975,0.083967605,0.177597995
-0.005335995,0.089463827,-0.03007786,0.058569635,0.02280143,-0.011862257
-0.063624223,-0.03359467,-0.13957949,-0.010912552,-0.030809075,0.10072105
0.101438418,0.128075585,0.006345337,0.009223642,0.05059027,0.046956998
0.01100564,-0.002624468,-0.048709178,-0.038462022,-0.048867136,-0.012753597
-0.000256884,0.189433624,-0.084320455,-0.027678998,0.056670808,-0.011604804
0.027521721,0.009568303,0.378048752,14.35281894,-0.159505542,-0.109395611
-0.15652606,0.000276035,-0.204157498,-14.55823683,-0.031973883,-0.049211475
-0.095441977,0.103523807,0.063208253,2.227941919,0.091406952,0.516051742
17.47133053,0.081319306,0.232734245,2.641551746,0.037261195,0.172968795
-5.229364877,-0.158729989,-0.24208402,5.984626384,-0.042650543,0.021484281
-21.74615302,-0.005958355,0.186742869,12.99271529,0.129741484,0.049493046
10.45218207,0.0638416,-0.26141723,-1.817253867,0.09724672,0.204954149
-15.9112796,0.10984494,0.125225294,1.25685082,0.014115715,0.038041039
-16.08134194,0.020128795,0.323897535,-1.976008744,-0.028942813,0.022252883
-0.782029589,-0.024528231,-0.077012512,2.22452966,-0.009353926,0.089957155
13.1945426,0.071064317,-0.008830907,18.38648416,0.031237485,-0.371444916
22.19220008,0.058906321,0.06126769,-5.130379386,-0.040911265,-0.027965072
22.93883724,0.033354444,-0.205972438,-1.151696334,-0.019497081,-0.002355157
11.40568151,-0.053309673,0.202419819,-1.807582726,-0.197263049,-0.225526772
-3.391937015,-0.041665041,0.139409402,0.06759495,-0.109626904,-0.137750684
-14.22468986,-0.05592023,-0.040884537,-0.062558003,-0.047932592,0.03270155
6.81440364,0.024689196,-0.028057898,0.085879836,0.047405882,0.031965184
-10.51661705,0.056220126,0.058508158,-0.123062566,0.106262729,0.246980278
-10.52807483,0.019719574,-0.036016278,-0.045725247,0.140575854,0.202486545
-0.540578019,-0.056084663,-0.026221899,0.090800971,0.234849173,0.07434121
8.470309156,-0.042670671,0.153667717,-0.018209116,0.199624789,-0.014976191
14.49724991,0.014208213,0.139482268,-0.035480135,0.093478832,0.011620791
15.07253874,0.119029975,0.142758046,0.070108564,0.142053254,0.011660215
7.914719786,-0.005255544,0.031520681,0.001278717,0.155540046,0.14802727
-2.337801773,-0.181791248,0.090849619,-0.025285395,0.160650069,-0.124442274
-9.791771954,-0.067603026,-0.046358936,-0.013449296,-0.000228326,-0.04827438
4.733489478,0.038695053,0.064485604,0.012645438,-0.118460998,-0.104307086
-7.228645028,-0.006752396,0.104026655,0.012553422,-0.181208124,-0.016033096
-7.268489392,0.195851214,0.033333895,0.129300323,0.16955528,0.07761449
-0.360687041,-0.087060126,-0.006345359,-0.182216204,0.004081278,0.062338894
5.93984554,0.037567074,0.019217468,0.117582895,0.084912563,0.077963367
10.17537429,-0.066874585,-0.013444338,0.099003793,0.050423802,0.352491706
10.43312631,0.131191813,0.030170727,-0.02310964,2.100706122,0.061058302
0.046907026,0.03956115,0.176229434,-0.006710984,1.33702847,0.015299074
0.064635546,-0.076502351,0.184929881,0.014319609,0.489471464,-0.007727398
0.047720716,-0.0110288,0.129941218,0.001957432,0.299929029,-0.023296791
-0.190339126,7.902507235,-0.203150061,-0.060213273,0.809319911,0.091389106
0.101272748,-2.335436776,0.035331107,-0.130729105,-0.781907233,-0.022639818
0.124482084,-9.801571964,-0.053158497,-0.058902749,-1.454373297,0.01616111
-0.01354418,4.730303495,0.136531246,-0.086836172,-0.91829951,-0.052868083
-0.101708456,-7.244238217,0.268329931,-0.049177659,-5.691484543,-0.083830651
-0.009831513,-7.287880948,0.093878697,-0.093808503,2.495538631,-0.035222722
-0.169947484,-0.34042327,-0.04391406,0.042353777,-1.598523776,0.014461256
9.333846235,5.939882486,0.136977834,-0.072506749,0.673865202,-0.105554173
-2.540451498,10.1351827,-0.096978609,-0.00195272,-0.999450096,0.153920985
-10.70766861,10.43290464,-0.297565386,0.006960627,1.030561384,0.082310287
5.053676061,8.444859935,0.150057489,0.008431833,2.948694488,0.075753331
-7.795411064,-2.508432735,-0.133307654,0.000127429,1.454474792,0.053448175
-7.55032203,-10.46100095,0.154586886,-0.017702909,2.907133416,0.044181465
-0.410308187,5.117169227,-0.252815709,0.114950625,0.888098906,-0.021023863
6.128086092,-7.798574699,0.114408592,0.108173496,1.249746947,0.015777411
11.00807948,-7.763052431,-0.00020224,-0.002561685,2.100514513,-0.054827209
10.98674551,-0.354689112,-0.16070547,-0.11528343,0.145552157,-0.042602399
2.609082375,6.427982565,1.62852643,0.064697583,2.274264685,-0.083850616
-0.255698201,10.80765884,0.279056395,-0.053115026,0.553961663,0.013327043
-1.594641508,11.21538108,-0.723476082,0.047909744,-1.100623482,0.17315159
0.891030707,0.065182084,0.651203746,0.07394593,-1.09452656,-0.080643716
-1.43607115,0.085742196,0.275812866,0.041380942,0.036088862,0.051452244
-0.451763661,0.104404319,-0.910334266,-0.00568132,1.051056643,3.505263949
-0.298992206,-0.071265824,0.338495917,0.028130993,0.480642677,3.095151991
0.695321624,0.123400933,-0.111698264,-0.075617121,-0.041558148,0.721041708
1.234182824,0.068019296,0.964410653,0.127065913,0.167415978,1.619210621
1.376914958,0.123392123,-0.579980016,-0.061940765,0.583276501,0.872445083
4.403737252,-0.057593751,0.251009375,0.05123138,-0.686420799,-1.579340676
4.779682146,-0.114541834,1.261119238,0.085320322,-0.496643163,-2.151355518
8.184778054,-0.003897514,0.550482373,-0.153137224,-0.346610048,-0.981702962
-9.258440649,4.062068862,3.869758666,0.024682335,-4.210640298,-15.59183422
5.590454231,2.923036501,-0.040631912,-0.018394083,1.4001653,8.262007717
8.401893257,6.514205741,-1.254099123,-0.085052647,-2.809012203,-8.572261929
5.000838113,-1.39592528,0.787861464,0.073316482,0.986224564,3.992661513
-7.894526275,1.589056453,0.71562943,0.067185268,-1.547315545,-3.764625343
-7.054423978,9.692461048,-4.555932698,-0.099151777,0.131254457,2.272336215
-10.25396322,-2.20175652,-0.404371697,-0.091930135,0.083861153,1.995789425
2.508895644,-5.533008669,-2.004360489,-0.009795024,0.086072524,0.425008417
2.834223806,-12.48523678,0.114400551,0.008989783,-0.081779979,1.093677648
4.564000294,-10.44436881,0.421675814,0.025506875,0.051980816,0.690791019
-5.438104276,0.037877452,-0.038693645,-0.030798545,-0.087699818,-1.076140765
3.160942379,0.171279016,-5.083224841,0.014127323,-0.063961269,-1.453899229
4.792390825,0.055520854,-2.79523948,0.114331689,-0.159761453,-0.481656846
2.696791577,0.010869705,0.37997638,0.044894671,-0.190670059,-10.11856126
