Group1,Group2
,-0.003874615
,-0.011018694
,-0.001159178
,-0.0007447
,0.015460632
,-0.00466969
,-0.015632382
,-0.011282284
,0.003796314
,0.007839022
,-0.006806755
,-0.015599212
,-0.005266333
,0.001601023
,-0.004255534
,-0.01261404
,-0.001381014
,-0.002202755
,0.008564351
,-0.005669511
,-0.015703417
,-0.015686774
,0.001202277
,0.005600237
,-0.006874725
,-0.018335479
,-0.009778536
,0.001967647
,-0.00456876
,-0.011896928
,-0.001431784
,0.013269453
,0.006072789
,0.000500289
,0.007183488
,0.010391687
,0.00366644
,0.000913307
,0.009684971
,0.004975363
,0.003132845
,0.034763558
,0.027186316
,0.001069141
,-0.006930059
,0.013001609
,0.005818801
,-0.000680572
,-0.007408085
,-0.009157469
,-0.011003316
,-0.018768346
,0.000236511
,-0.022116332
,0.002856158
,-0.005273416
,-0.027879384
,0.015902776
,0.017751694
,-0.000285019
,0.023431079
,-0.013933927
,-0.016801599
,-0.018675592
,0.002477088
,-0.00181123
,-0.007294405
,-0.018506076
,-0.01332525
,0.000856067
,-0.008889396
,-0.009422866
,-0.002115498
,-0.007164625
,-0.012062278
,-0.018717646
,-0.015024085
,-0.00731953
,-0.004189857
,-0.000728938
,0.001212902
,0.009810387
,-0.004796904
,-0.016865641
,-0.011726134
,0.00245426
,0.002488916
,-0.008369085
,-0.016910223
,-0.005677035
,0.000197182
,-0.007851275
,-0.009485089
,-0.001835505
,-3.88E-05
,0.015431819
,-0.006427813
,-0.016838225
,-0.009777468
,0.006508967
,0.004663239
,-0.008294833
,-0.017051745
,-0.005350093
,0.000769993
,-0.008378921
,-0.011428058
,-0.002307371
,-0.002041414
,0.00918716
,-0.008143842
,-0.016891454
,-0.014924694
,0.004237873
,0.003272859
,-0.0083406
,-0.020194589
,-0.01052062
,0.000956748
,-0.00865346
,-0.010535335
,-0.002274124
,0.012370486
,0.007558176
,0.003165485
,0.008070552
,0.011550866
,0.003086647
,0.00129169
,0.010076036
,0.005957393
,0.004457376
,0.035508999
,0.026677849
,1.63E-05
,-0.007152372
,0.024798432
,-0.00563111
,-0.006426481
,-0.032246087
,-0.009461421
,-0.015251623
,-0.011925021
,-0.023995144
,-0.009954138
,0.007390641
,0.01611813
,-0.006331075
,-0.008459691
,-0.00057054
,-0.04882717
,-0.008223399
,-0.013239603
,0.002013894
,-0.004696933
,-0.033310312
,-0.013692771
,0.044313729
,0.064285992
,0.02328565
,0.004491371
,-0.020914376
,-0.078272232
,-0.018795567
,-0.004317953
,0.029833557
,0.031013138
,-0.026550451
,0.055355273
,-7.30E-05
,-0.068382022
,-0.014824314
,-0.004246531
,0.008752049
,0.003951732
,-0.004754335
,-0.034723108
,-0.027934551
,-0.000807777
,0.075553521
,0.014961212
,0.003861236
,-0.020802915
,-0.068537414
,-0.013397716
,-0.027714232
,-0.000643653
,0.003100532
,0.003127885
,0.00934696
,-0.009824615
,-0.036071453
,0.006403748
,0.065864188
,0.026454407
,0.005465372
,-0.020705355
,-0.069408387
,-0.013802853
,-0.015580376
,-0.003602913
,0.004268119
,0.003677921
,-0.006035083
,-0.02305559
,-0.029971803
,0.007689738
,0.053964482
,0.019048159
,0.002967284
,-0.021423813
,-0.071467419
,-0.012901971
,-0.009249912
,-0.003183907
,0.000909824
,-0.021893729
,-0.020006109
,-0.027344722
,-0.051769403
,-0.053624797
,0.00627054
,-0.01698788
,-0.016101256
,0.007234982
,0.003554308
,0.000320281
,0.037876038
,0.03367846
,-0.00644338
,0.01086009
,-0.050795195
,-0.033294397
,-0.020161463
,-0.007969149
,-0.008812455
,0.007013035
,0.006094278
,0.003520348
,-0.014925341
,0.003560588
,-0.095485496
,-0.047474192
,0.00236683
,0.1229019
,-0.11002833
,0.008730863
,0.010387783
,-0.011471189
,-0.078639805
,-0.05403767
,-0.061609163
,-0.11770508
,0.03283264
,-0.04155164
,-0.068666324
,0.040865589
,-0.076963136
,-0.075262315
,0.023479658
,-0.027393267
,0.035015431
,-0.025082919
,-0.031943193
,0.043323889
,0.125183628
,-0.095593191
,0.019331164
,-0.003643689
,-0.024285976
,0.017104812
,0.019548495
,-0.05007063
,-0.098216019
,0.027609696
,-0.040440184
,-0.066800996
,-0.016266608
,0.026412119
,0.122606201
,-0.08942815
,0.019161849
,0.003993245
,-0.023576664
,0.007293384
,0.072562515
,-0.053464519
,-0.097864421
,0.024703885
,-0.036093517
,-0.040917002
,-0.015929163
,0.038418947
,0.124518788
,-0.102770339
,0.005710441
,0.005068304
,-0.022014837
,-0.018847554
,-0.032064718
,-0.055100665
,-0.102351409
,0.023744895
,-0.040917824
,-0.049773579
,-0.078118162
,-0.028184597
